Key,Thai
This option will show a notification about the use of cookies in your instance.,ตัวเลือกนี้จะแสดงการแจ้งเตือนเกี่ยวกับการใช้คุ้กกี้ในระบบของคุณ
This property will appear in the library cards as part of the basic info.,คุณสมบัตินี้จะถูกแสดงในการ์ดไลบรารีและเป็นส่วนหนึ่งของข้อมูลพื้นฐาน
This property will be inherited from the related entities and shown as metadata of this type of entities.,คุณสมบัตินี้จะถูกโอนย้ายมาจากรายการที่เกี่ยวข้องและจะถูกแสดงเป็นเมตาดาต้าสำหรับประเภทรายการนี้
This property will be shown using all the width available.,คุณสมบัตินี้จะถูกแสดงโดยใช้พื้นที่ทั้งหมดที่มีอยู่
This property will be shown without the label.,คุณสมบัตินี้จะถูกแสดงโดยไม่มีการจำแนกประเภท
This template will be used as default for new entities.,แม่แบบนี้จะถูกตั้งเป็นค่าเริ่มต้นสำหรับรายการใหม่
Threshold,เกณฑ์
Time,เวลา
"To bring you a better experience, this site uses cookies.",เพื่อประสบการณ์ที่ดีของคุณ เว็บไซต์ของเราจะทำการเก็บคุกกี้
"To complete the account creation process, please create a password for your account",เพื่อให้การสร้างบัญชีเสร็จสมบูรณ์กรุณาสร้างรหัสผ่านสำหรับบัญชีของคุณ
To get resource from web:,ในการที่จะรับข้อมูลจากเว็บ
Train model,การสอนโมเดล
Try selecting other documents.,ลองเลือกเอกสารอื่น ๆ
Two-factor verification failed,การตรวจสอบสองขั้นตอนล้มเหลว
Two-step verification,การตรวจสอบสองขั้นตอน
URL,url
Upload PDF,นำเข้า PDF
Upload PDF(s) to create,นำเข้า PDF เพื่อสร้าง
Upload a ZIP or CSV file.,นำเข้าไฟล์ zip หรือ csv
Upload and select file,นำเข้าและเลือกไฟล์
Upload from computer,นำเข้าจากคอมพิวเตอร์
Uploading ...,นำเข้า...
Uploading file,นำเข้าไฟล์
Use,ใช้
Username is required,จำเป็นต้องใส่ชื่อผู้ใช้
Username is too long,ชื่อผู้ใช้ยาวเกินไป
Username is too short,ชื่อผู้ใช้สั้นเกินไป
Using Google Authenticator,ใช้ Google Authenticator
Uwazi UI,uwazi ui
Uwazi is developed by,Uwazi ได้รับการพัฒนาโดย
"Uwazi is learning using the labelled documents. This may take up to 2 hours, and once completed you can review suggestions made by Uwazi for your collection.","Uwazi กำลังเรียนรู้โดยใช้เอกสารที่ถูกจำแนกประเภท 
มันอาจจะใช้เวลาไม่เกิน 2 ชั่วโมง และเมื่อเสร็จสมบูรณ์คุณจะสามารถตรวจสอบ
คำแนะนำของ Uwazi ที่มีให้กับคอลเลกชันของคุณ"
Verify,ตรวจสอบ
Verifying...,กำลังตรวจสอบ....
View suggestions,ดูคำแนะนำ
Warning: you are editing multiple entities. Fields marked with a,คำเตือนซ คุณกำลังแก้ไขหลายรายการ ช่องที่ถูกทำเครื่องหมายด้วย
"We provide a default key, you can set your own MapTiler API key",เราให้รหัสเริ่มต้นคุณสามารถสร้างรหัสสำหรับ MapTiler API ได้ด้วยตัวคุณเอง
We recommend labeling,เราขอแนะนำให้ทำการแยกประเภท
Website analytics,การวิเคราะห์เว็บไซต์
Welcome to Uwazi,ยินดีต้อนรับสู่ Uwazi
"Well, this is awkward...",แย่หน่อยนะ...
With great power comes great responsibility!,พลังที่ยิ่งใหญ่มากับความรับผิดชอบที่ใหญ่ยิ่ง!
Year,ปี
"You can also embed advanced components like maps, charts and entity lists in your page.",นอกจากนี้คุณยังสามารถฝังส่วนประกอบที่ซับซ้อนเช่น แผนที่ แผนภูมิ และลิสต์รายการได้ในหน้าของคุณ
You can also improve the model by providing more labeled documents.,นอกจากนี้คุณยังสามารถพัฒนาโมเดลได้โดยใช้เอกสารที่ถูกจำแนกประเภทในจำนวนที่มากขึ้น
"You can configure the email that will appear as the sender when any email is sent to the user. If this email is not set, “no-reply@uwazi.io” will be used instead.","คุณสามารถตั้งค่าอีเมลที่จะนำมาแสดงเป็นชื่อผู้ส่งเมื่ออีเมลถูกส่งไปยังผู้ใช้ได้ ถ้าอีเมลไม่ถูกตั้งค่า ""no-reply@uwazi.io"" จะถูกใช้เป็นชื่อผู้ส่งแทน"
You can create metadata templates in,คุณสามารถสร้างแม่แบบเมตาดาต้าได้
You have labeled,คุณได้แยกประเภทแล้ว
You have successfully configured two-step verification.,คุณได้ทำการติดตั้งการตรวจสอบสองขั้นตอนเรียบร้อยแล้ว
You should activate this feature for enhanced account security,คุณควรเปิดใช้งานคุณสมบัตินี้เพื่อเพิ่มความปลอกภัยให้กับบัญชีของคุณ
You will need to reload the page after updating your Favicon.,คุณจะไม่สามารถบันทึกรายการได้ถ้าคุณสมบัตินี้ยังไม่ถูกใส่ค่า
You won't be able to save an entity if this property is empty.,คุณจะไม่สามารถบันทึกนิติบุคคลได้หากคุณสมบัตินี้ว่างเปล่า
Your account is protected by 2fa.,บัญชีของคุณได้รับการคุ้มครองโดย 2FA
Zoom in,ขยายเข้า
Zoom in library view,ขยายเข้าไปยังมุมมองไลบรารี
Zoom out,ขยายออก
Zoom out library view,ขยายออกไปยังมุมมองไลบรารี
add icon,เพิ่มไอคอน
affects,ส่งผลกระทบต่อ
auto-created,สร้างขึ้นอัตโนมัติ
created,ถูกสร้างแล้ว
documents before training (30 per topic).,เอกสารก่อนการเรียนรู้ (30 ต่อหัวข้อ)
documents so far.,เอกสารจนถึงขณะนี้
documents.,เอกสาร.
help,ช่วยเหลือ
https://yourdomain,https: // yourdomain
https://yoursite.com/,https://yoursite.com/
landing page description,คำอธิบายหน้า Landing Page
leaving only a relative URL starting with a slash character. Ie. /some_url.,ใช้เฉพาะ URL ด้านท้ายเริ่มต้นด้วยตัวอักษรสแลช เช่น /some_url
library list view,มุมมองรายการไลบรารี
library map view,มุมมองแผนที่ไลบรารี
library table view,มุมมองตารางไลบรารี
linked,เชื่อมโยงแล้ว
low,ต่ำ
more options.,ตัวเลือกเพิ่มเติม
or,หรือ
or drop your files here.,หรือวางไฟล์ของคุณที่นี่
out of,ออกไปจาก
private,ส่วนตัว
public,สาธารณะ
remove icon,ลบไอคอน
selected of,ถูกเลือกโดย
shown of,แสดงโดย
syntax to create page content,ไวยากรณ์เพื่อสร้างเนื้อหาของหน้า
to learn more about the components.,ในกรณีที่ต้องการเรียนรู้เพิ่มเติมเกี่ยวกับส่วนประกอบ
to view your authentication code and verify your identity.,ในกรณีที่ต้องการดูรหัสผ่านและยืนยันตัวตน
will be updated with the same value.,จะถูกอัปเดทด้วยค่าเดียวกัน
with,กับ
