Key ,Russian
"By toggling this on you can allow users to submit to your whitelisted templates without having to fill a CAPTCHA. The form will still present the captcha to end users, but API end-point will allow submissions without CAPTCHA validation if a header ""Bypass-Captcha: true"" is sent along. This option is insecure and can be leveraged to flood your instance with spam or malicious content.","Отключив эту функцию, Вы сможете позволить пользователям отправлять что-то через разрешенные шаблоны без необходимости вводить Captcha. Форма все равно будет показывать Captcha конечным пользователям, но конечная точка API разрешит отправку без валидации Captcha, если заголовок 'Обойти-Captcha-верно' будет оотправлять совместно. Эта опция небезопасна и может привести к наполнению вашего экземлпяра базы данных спамом или вредоносным контентом. "
Confirm suggestion acceptance,Подвердить принятие предложения
Could not be processed,Не получилось обработать
Dashboard,Приборная панель
Delete file,Удалить файл
Empty,Пустой
Filled,Заполненный
Find suggestions,Найти предложения
Google Maps,Google Карты
Hybrid,Гибридный
Click to fill,"Нажать, чтобы заполнить"
